nta_code,year,eviction_count
Jamaica,2026,30
Jamaica Estates-Holliswood,2017,41
Jamaica Estates-Holliswood,2018,24
Jamaica Estates-Holliswood,2019,21
Jamaica Estates-Holliswood,2020,8
Jamaica Estates-Holliswood,2022,5
Jamaica Estates-Holliswood,2023,23
Jamaica Estates-Holliswood,2024,24
Jamaica Estates-Holliswood,2025,25
Kensington-Ocean Parkway,2017,28
Kensington-Ocean Parkway,2018,39
Kensington-Ocean Parkway,2019,22
Kensington-Ocean Parkway,2020,4
Kensington-Ocean Parkway,2022,10
Kensington-Ocean Parkway,2023,26
Kensington-Ocean Parkway,2024,27
Kensington-Ocean Parkway,2025,33
Kensington-Ocean Parkway,2026,3
Kew Gardens,2017,38
Kew Gardens,2018,50
Kew Gardens,2019,36
Kew Gardens,2020,12
Kew Gardens,2021,2
Kew Gardens,2022,9
Kew Gardens,2023,25
Kew Gardens,2024,48
Kew Gardens,2025,58
Kew Gardens,2026,8
Kew Gardens Hills,2017,49
Kew Gardens Hills,2018,55
Kew Gardens Hills,2019,32
Kew Gardens Hills,2020,11
Kew Gardens Hills,2022,12
Kew Gardens Hills,2023,30
Kew Gardens Hills,2024,41
Kew Gardens Hills,2025,27
Kew Gardens Hills,2026,1
Kingsbridge Heights,2017,165
Kingsbridge Heights,2018,127
Kingsbridge Heights,2019,71
Kingsbridge Heights,2020,25
Kingsbridge Heights,2021,1
Kingsbridge Heights,2022,27
Kingsbridge Heights,2023,89
Kingsbridge Heights,2024,87
Kingsbridge Heights,2025,113
Kingsbridge Heights,2026,11
Laurelton,2017,33
Laurelton,2018,44
Laurelton,2019,18
Laurelton,2020,14
Laurelton,2022,8
Laurelton,2023,12
Laurelton,2024,36
Laurelton,2025,46
Laurelton,2026,4
Lenox Hill-Roosevelt Island,2017,78
Lenox Hill-Roosevelt Island,2018,86
Lenox Hill-Roosevelt Island,2019,44
Lenox Hill-Roosevelt Island,2020,11
Lenox Hill-Roosevelt Island,2021,3
Lenox Hill-Roosevelt Island,2022,31
Lenox Hill-Roosevelt Island,2023,69
Lenox Hill-Roosevelt Island,2024,65
