geoid,county,borough,borocode,tract,nta_code,nta_name,cd_name
36061016200,061,Manhattan,1,016200,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061016400,061,Manhattan,1,016400,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061016600,061,Manhattan,1,016600,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061016800,061,Manhattan,1,016800,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061017000,061,Manhattan,1,017000,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061017200,061,Manhattan,1,017200,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061017401,061,Manhattan,1,017401,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061017402,061,Manhattan,1,017402,MN1101,East Harlem (South),MN11 East Harlem (CD 11 Equivalent)
36061017800,061,Manhattan,1,017800,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061018000,061,Manhattan,1,018000,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061018200,061,Manhattan,1,018200,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061018400,061,Manhattan,1,018400,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061018800,061,Manhattan,1,018800,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061019200,061,Manhattan,1,019200,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061019400,061,Manhattan,1,019400,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061019600,061,Manhattan,1,019600,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061019800,061,Manhattan,1,019800,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061020600,061,Manhattan,1,020600,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061021000,061,Manhattan,1,021000,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061024200,061,Manhattan,1,024200,MN1102,East Harlem (North),MN11 East Harlem (CD 11 Equivalent)
36061024000,061,Manhattan,1,024000,MN1191,Randall's Island,MN11 East Harlem (CD 11 Equivalent)
36061023900,061,Manhattan,1,023900,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061024100,061,Manhattan,1,024100,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
36061024301,061,Manhattan,1,024301,MN1201,Washington Heights (South),MN12 Washington Heights-Inwood (CD 12 Equivalent)
