zip_code,year,zori
11204,2021,
11204,2022,
11205,2015,2187.5876691459976
11205,2016,2254.232003423856
11205,2017,2297.1480778719615
11205,2018,2362.870930006966
11205,2019,2492.6517078213196
11205,2020,2470.837486344793
11205,2021,2476.0309575812025
11205,2022,2936.4716802948024
11206,2015,2541.967727232743
11206,2016,2614.5652638996894
11206,2017,2627.6631559438797
11206,2018,2635.0795917805885
11206,2019,2716.6967746831456
11206,2020,2681.136740518908
11206,2021,2684.4381900743797
11206,2022,3261.553059837938
11207,2015,1756.2727975747603
11207,2016,1917.047139055543
11207,2017,1939.1074007709037
11207,2018,2023.3729505414492
11207,2019,2115.93706219353
11207,2020,2127.6372557453064
11207,2021,2067.8681309160206
11207,2022,2474.6959407944046
11208,2015,
11208,2016,
11208,2017,
11208,2018,
11208,2019,
11208,2020,
11208,2021,
11208,2022,2031.1552655565579
11209,2015,
11209,2016,
11209,2017,
11209,2018,1844.1303344703513
11209,2019,1892.8741799305424
11209,2020,1909.87381142549
11209,2021,1933.6021087735637
11209,2022,2051.9263871270873
11210,2015,
11210,2016,
11210,2017,2197.734823437006
11210,2018,2229.8627550306114
11210,2019,2324.6708560090933
11210,2020,2330.8666388775987
11210,2021,2293.7662740260453
11210,2022,2593.058268065554
11211,2015,3099.936907800013
11211,2016,3108.6388591706577
11211,2017,3113.543802182612
11211,2018,3077.7703241167205
11211,2019,3242.477955977655
11211,2020,3208.329809138151
11211,2021,3301.2159144443744
11211,2022,3976.600020939523
11212,2015,
11212,2016,
11212,2017,
11212,2018,
11212,2019,
11212,2020,
11212,2021,
11212,2022,2061.657392766039
11213,2015,1992.4398262546224
11213,2016,2087.896748362511
11213,2017,2153.953597966969
11213,2018,2223.9568379112866
11213,2019,2290.3348823069696
11213,2020,2271.320423018289
11213,2021,2235.4724844189154
11213,2022,2556.946565494884
11214,2015,
11214,2016,
11214,2017,
11214,2018,
11214,2019,1858.2262517186955
11214,2020,1848.571053391892
11214,2021,1883.8098297762215
11214,2022,2065.004651016195
11215,2015,2540.3743961646696
11215,2016,2568.741721562947
11215,2017,2604.5876342585666
11215,2018,2683.930714672813
11215,2019,2770.6382708604374
11215,2020,2760.556048032273
11215,2021,2776.365958341712
11215,2022,3240.8192231040503
11216,2015,2192.8841828098343
11216,2016,2294.057020051883
11216,2017,2370.7155059887195
11216,2018,2428.4025294326043
11216,2019,2511.3169032690366
11216,2020,2489.328347644288
11216,2021,2501.664036863758
11216,2022,2955.5922394172103
11217,2015,2679.0655716115566
11217,2016,2737.714009698065
11217,2017,2778.6356705371104
11217,2018,2875.1542121976527
11217,2019,2996.6777258216734
11217,2020,2942.44145422715
11217,2021,3027.9837383239083
11217,2022,3504.6842995427237
11218,2015,2065.920052037611
11218,2016,2119.682264086668
11218,2017,2170.7911235079596
11218,2018,2211.0373728900613
11218,2019,2268.503425297578
11218,2020,2274.2479661294738
11218,2021,2282.421450936329
11218,2022,2558.5707915897974
11219,2015,
11219,2016,
11219,2017,
11219,2018,
11219,2019,
11219,2020,
11219,2021,
11219,2022,
11220,2015,
11220,2016,
11220,2017,
11220,2018,2020.3041318539606
11220,2019,2059.9510941056583
11220,2020,2068.292801612752
11220,2021,2048.3473304484814
11220,2022,2255.7695599665353
11221,2015,2103.722941991998
11221,2016,2205.670212788757
11221,2017,2262.437948290842
11221,2018,2322.590033524009
11221,2019,2410.815476223714
11221,2020,2389.994817646292
11221,2021,2361.4266994624327
11221,2022,2807.275419080866
11222,2015,2611.203001218215
11222,2016,2713.6404444020386
11222,2017,2772.910301903583
11222,2018,2795.973059131094
11222,2019,2917.060862430244
11222,2020,2907.9393136781323
11222,2021,3012.6375309120954
11222,2022,3636.1661740309755
11223,2015,
11223,2016,
11223,2017,
11223,2018,
11223,2019,
11223,2020,1870.8392515392247
11223,2021,1946.4850200102499
11223,2022,2088.51790307937
11224,2015,
11224,2016,
11224,2017,
11224,2018,
11224,2019,
11224,2020,
11224,2021,
11224,2022,
11225,2015,2100.131686322192
11225,2016,2202.8108863112243
11225,2017,2239.7672483940537
11225,2018,2314.89468486283
11225,2019,2402.49984152257
11225,2020,2350.4918000569483
11225,2021,2320.1068260149627
11225,2022,2646.334585839715
11226,2015,1987.8766181341086
11226,2016,2119.1255394275922
11226,2017,2182.4465377685524
11226,2018,2250.885644720654
11226,2019,2309.866644661977
11226,2020,2290.0294566627367
11226,2021,2267.979348337127
11226,2022,2564.91652669268
11228,2015,
11228,2016,
11228,2017,
11228,2018,
11228,2019,
11228,2020,1775.8047423531827
11228,2021,1792.69110480082
11228,2022,1979.5800404085585
11229,2015,
11229,2016,1361.905582776245
11229,2017,1478.8259712566996
11229,2018,1547.140832397382
11229,2019,1587.2311345190576
11229,2020,1603.6781260182706
11229,2021,1650.6714359740035
11229,2022,1832.5189590916327
11230,2015,
11230,2016,1957.928309463142
11230,2017,2018.1680976935265
11230,2018,2053.863412499857
11230,2019,2115.162110209707
11230,2020,2116.5984659243372
11230,2021,2094.8176211869873
11230,2022,2306.25850058572
11231,2015,1976.964739519225
